"","RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","DepthStratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BySpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","CodendMesh","SecchiDepth","Turbidity","TidePhase","TideSpeed","PelSampType","MinTrawlDepth","MaxTrawlDepth","DateofCalculation"
"1","HH","BITS",1,"LT","LTDA","TVS",NA,"S",NA,"26208",2,2016,3,16,1330,11,30,"D",55.6511,20.283,55.6433,20.2483,"40H0",72,"V","2",1,1,"C",-9,NA,NA,NA,NA,NA,NA,-9,NA,-9,-9,NA,-9,NA,NA,-9,-9,NA,-9,NA,-9,NA,NA,NA,-9,3.2,3.8,7.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"2","HH","BITS",1,"SE","26D4","TVL",75,"S",NA,"57",27,2016,2,26,1200,12,30,"D",58.0347,19.4962,58.0513,19.4613,"45G9",91,"N","56",1,1,"C",-9,NA,NA,2778,NA,NA,NA,4.4,720,-9,-9,213,-9,488,NA,3,-9,NA,-9,NA,-9,270,8,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"3","HH","BITS",1,"SE","26D4","TVL",75,"S",NA,"55",26,2016,2,26,943,10,30,"D",57.8738,19.4198,57.8983,19.4303,"44G9",49,"V","54",1,1,"C",4.7,NA,NA,2797,320,NA,NA,4.4,720,83,31,213,-9,488,13,3,-9,NA,-9,NA,-9,250,9,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"4","HH","BITS",1,"SE","26D4","TVL",75,"S",NA,"61",29,2016,2,26,1430,13,30,"D",57.7667,18.1167,57.7917,18.1167,"44G8",103,"N","60",1,1,"C",-9,NA,NA,2778,NA,NA,NA,4.4,720,-9,-9,213,-9,488,NA,3,-9,NA,-9,NA,-9,280,8,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"5","HH","BITS",1,"SE","26D4","TVL",75,"S",NA,"59",28,2016,2,26,1300,13,30,"D",57.7417,18.1667,57.7667,18.1667,"44G8",104,"N","58",1,1,"C",-9,NA,NA,2778,NA,NA,NA,4.4,720,-9,-9,213,-9,488,NA,3,-9,NA,-9,NA,-9,260,8,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"6","HH","BITS",1,"SE","26D4","TVL",75,"S",NA,"53",25,2016,2,26,734,11,30,"D",57.6893,19.3772,57.7133,19.3875,"44G9",74,"V","52",1,1,"C",4.1,NA,NA,2741,410,NA,NA,4.4,720,97,34,213,-9,488,13,2.9,-9,36,0.5,NA,-9,250,7,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"7","HH","BITS",1,"SE","26D4","TVL",75,"S",NA,"49",24,2016,2,25,1453,9,30,"D",57.6695,19.0645,57.691,19.0887,"44G9",36,"V","50",1,1,"C",5.4,NA,NA,2778,250,NA,NA,4.4,720,73,28,213,-9,488,31,3,-9,NA,-9,NA,-9,250,6,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"8","HH","BITS",1,"SE","26D4","TVL",75,"S",NA,"23",12,2016,2,23,1357,10,30,"D",56.3242,18.4043,56.3432,18.434,"41G8",42,"V","24",1,1,"C",5.2,NA,NA,2778,270,NA,NA,4.4,720,77,30,213,-9,488,41,2.9,-9,NA,-9,NA,-9,260,9,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"9","HH","BITS",1,"SE","26D4","TVL",75,"S",NA,"81",39,2016,2,29,706,10,30,"D",56.2605,17.8887,56.2398,17.8638,"41G7",45,"V","80",1,1,"C",5.3,NA,NA,2797,300,NA,NA,4.4,720,80,30,213,-9,488,214,3,-9,NA,-9,NA,-9,50,4,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"10","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","196",49,2016,3,17,925,10,30,"D",55.4581,17.2483,55.4592,17.2035,"39G7",41,"V","195",1,1,"R",6.1,NA,NA,2832,270,NA,NA,4.4,520,77,-9,213,-9,NA,272,3.1,-9,NA,-9,NA,-9,312,10,NA,-9,3.9,3.8,7.61,7.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"11","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","167",34,2016,3,13,1435,12,30,"D",55.4549,18.574,55.4318,18.5927,"39G8",84,"V","166",1,1,"R",4.9,NA,NA,2826,520,NA,NA,4.4,520,93,-9,213,-9,NA,150,3,-9,NA,-9,NA,-9,331,2,NA,-9,4.2,7.2,7.46,14.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"12","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","181",41,2016,3,15,1127,12,30,"D",55.4182,18.3991,55.3966,18.424,"39G8",85,"V","180",1,1,"R",4.8,NA,NA,2865,525,NA,NA,4.4,520,95,-9,213,-9,NA,147,3.1,-9,NA,-9,NA,-9,100,8,NA,-9,4.1,7,7.5,14.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"13","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","165",33,2016,3,13,1153,12,30,"D",55.4114,18.9217,55.4364,18.9229,"39G8",90,"V","164",1,1,"R",4.8,NA,NA,2782,540,NA,NA,4.4,520,90,-9,213,-9,NA,172,3,-9,NA,-9,NA,-9,40,1,NA,-9,4.2,7.5,7.52,14.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"14","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","206",54,2016,3,18,1129,10,30,"D",55.4035,16.9429,55.4024,16.8981,"39G6",58,"V","205",1,1,"R",5.9,NA,NA,2832,350,NA,NA,4.4,520,82,-9,213,-9,NA,262,3,-9,NA,-9,NA,-9,27,4,NA,-9,4,4.1,7.66,7.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"15","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","23",5,2016,3,5,1516,12,15,"D",55.3734,15.2611,55.3824,15.2733,"39G5",89,"V","22",1,1,"R",5.4,NA,NA,1260,NA,NA,NA,4.4,520,87,-9,213,-9,NA,36,2.8,-9,NA,-9,NA,-9,134,12,NA,-9,3.8,4.9,8.13,19.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"16","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","179",40,2016,3,15,810,12,30,"D",55.3708,18.5664,55.3459,18.5844,"39G8",82,"V","178",1,1,"R",5.1,NA,NA,2995,485,NA,NA,4.4,520,95,-9,213,-9,NA,157,3.2,-9,NA,-9,NA,-9,66,8,NA,-9,4.1,7,7.61,14.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"17","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","148",30,2016,3,11,1210,12,30,"D",55.3669,15.3174,55.376,15.2632,"39G5",89,"V","147",1,1,"R",4.9,NA,NA,3577,460,NA,NA,4.4,520,82,-9,213,-9,NA,285,3.2,-9,NA,-9,NA,-9,34,5,NA,-9,3.7,7.3,8.07,18.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"18","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","79",15,2016,3,8,929,11,30,"D",55.3519,16.3159,55.377,16.3198,"39G6",71,"V","78",1,1,"R",5.4,NA,NA,2798,400,NA,NA,4.4,520,84,-9,213,-9,NA,5,3,-9,NA,-9,NA,-9,224,3,NA,-9,3.6,8.1,7.77,17.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"19","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","146",29,2016,3,11,1008,12,26,"D",55.3472,15.3699,55.326,15.3578,"39G5",92,"V","145",1,1,"R",4.8,NA,NA,2474,520,NA,NA,4.4,520,91,-9,213,-9,NA,199,3.1,-9,NA,-9,NA,-9,59,8,NA,-9,3.7,5.6,8.06,18.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"20","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","183",42,2016,3,15,1357,12,30,"D",55.3288,18.1208,55.3509,18.1003,"39G8",81,"V","182",1,1,"R",5.3,NA,NA,2782,450,NA,NA,4.4,520,96,-9,213,-9,NA,331,3,-9,NA,-9,NA,-9,136,6,NA,-9,4,7.2,7.65,14.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"21","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","177",39,2016,3,15,543,12,30,"D",55.3229,18.3827,55.3481,18.3838,"39G8",81,"V","176",1,1,"R",4.8,NA,NA,2806,450,NA,NA,4.4,520,96,-9,213,-9,NA,179,3,-9,NA,-9,NA,-9,77,10,NA,-9,3.9,7.1,7.63,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"22","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","198",50,2016,3,17,1145,11,30,"D",55.3196,17.2945,55.3197,17.2505,"39G7",74,"V","197",1,1,"R",5.1,NA,NA,2782,420,NA,NA,4.4,520,87,-9,213,-9,NA,268,3,-9,NA,-9,NA,-9,292,8,NA,-9,4.2,7.8,7.7,15.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"23","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","19",3,2016,3,5,1052,11,30,"D",55.315,14.9311,55.3156,14.9746,"39G4",74,"V","18",1,1,"R",5.4,NA,NA,2752,370,NA,NA,4.4,520,85,-9,213,-9,NA,83,3,-9,NA,-9,NA,-9,134,12,NA,-9,3.7,4.2,8.18,14.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"24","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","200",51,2016,3,17,1352,11,30,"D",55.313,17.3393,55.3244,17.3792,"39G7",78,"V","199",1,1,"R",5.1,NA,NA,2826,420,NA,NA,4.4,520,88,-9,213,-9,NA,69,3,-9,NA,-9,NA,-9,279,6,NA,-9,4.2,7.8,7.75,15.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"25","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","75",13,2016,3,8,542,12,30,"N",55.3013,16.0188,55.3196,16.049,"39G6",90,"V","74",1,1,"R",4.8,NA,NA,2796,490,NA,NA,4.4,520,88,-9,213,-9,NA,46,3,-9,NA,-9,NA,-9,215,3,NA,-9,3.5,7.2,7.81,18.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
"26","HH","BITS",1,"DK","26D4","TVL",NA,"S","T","77",14,2016,3,8,734,12,30,"D",55.2947,16.1425,55.3114,16.1757,"39G6",84,"V","76",1,1,"R",4.5,NA,NA,2804,440,NA,NA,4.4,520,80,-9,213,-9,NA,49,3,-9,NA,-9,NA,-9,225,3,NA,-9,3.4,7.6,7.82,18.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210317
